language,idiom,type,genlang_point,map,feature,value1_name,value1,source,page,contributor,date,value2_name,value2,contributer
Ingush,Standard Ingush,language,yes,yes,Presence of geminates,Presence of geminates,attested,nichols2011,20,George Moroz,2021.10.04,,,
Inkhoqwari,Inkhokvari,village,yes,yes,Presence of geminates,Presence of geminates,not attested,kibrikkodzasov1990,327,George Moroz,2017.05.06,,,
Karata,Karata,dialect_toplevel,yes,yes,Presence of geminates,Presence of geminates,attested,magomedbekova1971,12--18,George Moroz,2021.10.04,,,
Karata,Tukita,village,no,yes,Presence of geminates,Presence of geminates,attested,gadzhieva2007,8,George Moroz,2021.10.04,,,
Khinalug,Khynalyg,village,yes,yes,Presence of geminates,Presence of geminates,attested,kibrik1994b,370,George Moroz,2021.10.04,,,
Khinalug,Khynalyg,village,no,no,Presence of geminates,Presence of geminates,not attested,kibrikkodzasov1990,346--347,Viola Ivanova,2017.05.06,,,
Khwarshi,Kwantlada,village,yes,yes,Presence of geminates,Presence of geminates,not attested,khalilova2009,13,George Moroz,2021.10.04,,,
Kryz,Kryz,language,yes,yes,Presence of geminates,Presence of geminates,attested,saadiev1994,409,George Moroz,2021.10.04,,,
Kryz,Kryz,village,no,yes,Presence of geminates,Presence of geminates,not attested,kibrikkodzasov1990,345,Viola Ivanova,2017.05.06,,,
Kumyk,Standard Kumyk,language,yes,yes,Presence of geminates,Presence of geminates,not attested,abdullaevaetal2014,33--56,George Moroz,2021.10.04,,,
Lak,Khosrekh,village,yes,yes,Presence of geminates,Presence of geminates,attested,kibrikkodzasov1990,333,Viola Ivanova,2017.05.06,,,
Lezgian,Khlyut,village,no,yes,Presence of geminates,Presence of geminates,not attested,kibrikkodzasov1990,341,George Moroz,2017.05.06,,,
Lezgian,Standard Lezgian,language,yes,yes,Presence of geminates,Presence of geminates,attested,gaydarivetal2009,56,George Moroz,2021.10.04,,,
Nogai,Nogai,language,yes,yes,Presence of geminates,Presence of geminates,not attested,baskakov1940,27,George Moroz,2021.10.04,,,
Rutul,Luchek,village,yes,yes,Presence of geminates,Presence of geminates,attested,alekseev1994,215,George Moroz,2021.10.04,,,
Rutul,Luchek,village,no,yes,Presence of geminates,Presence of geminates,not attested,kibrikkodzasov1990,342--343,Viola Ivanova,2017.05.06,,,
Tabasaran,Dyubek,village,no,yes,Presence of geminates,Presence of geminates,attested,kibrikkodzasov1990,336,George Moroz,2017.05.06,,,
Tabasaran,Standard Tabasaran,language,yes,yes,Presence of geminates,Presence of geminates,attested,alekseevshixalieva2003,29,George Moroz,2021.10.04,,,
Tat,Northern Azerbaijani Tat,dialect_toplevel,yes,yes,Presence of geminates,Presence of geminates,not attested,griunberg1963,17,George Moroz,2021.10.04,,,
Tindi,Tindi,village,no,yes,Presence of geminates,Presence of geminates,attested,kibrikkodzasov1990,326--327,Viola Ivanova,2017.05.06,,,
Tindi,Tindi,village,yes,yes,Presence of geminates,Presence of geminates,attested,magomedova2012,14--38,George Moroz,2021.10.04,,,
Tsakhur,Mikik,village,no,yes,Presence of geminates,Presence of geminates,attested,kibrikkodzasov1990,343,George Moroz,2017.05.06,,,
Tsakhur,Mishlesh,village,yes,yes,Presence of geminates,Presence of geminates,attested,kibrik1999,16,George Moroz,2021.10.04,,,
Tsez,Kidero,village,no,yes,Presence of geminates,Presence of geminates,not attested,kibrikkodzasov1990,328,Viola Ivanova,2017.05.06,,,
Tsez,Sagada,village,yes,yes,Presence of geminates,Presence of geminates,not attested,wilson2021,388,George Moroz,2021.10.04,,,
Tsova-Tush,Zemo-Alvani,village,yes,yes,Presence of geminates,Presence of geminates,attested,holiskygagua1994,150,George Moroz,2021.10.04,,,
Udi,Nidzh,village,yes,yes,Presence of geminates,Presence of geminates,not attested,kibrikkodzasov1990,347,Viola Ivanova,2017.05.06,,,
Agul,Burshag,village,no,yes,Number of contrasts in voiceless obstruents,Type of the contrast,three-way,kibrikkodzasov1990,340--341,Viola Ivanova,2017.05.06,Contents of the contrast,C-Cː-Cʼ,
Agul,Huppuq',village,yes,yes,Number of contrasts in voiceless obstruents,Type of the contrast,three-way,maisakganenkov2016,,George Moroz,2021.10.04,Contents of the contrast,C-Cː-Cʼ,
Akhvakh,Northern Akhvakh,dialect_toplevel,yes,yes,Number of contrasts in voiceless obstruents,Type of the contrast,four-way,creisselsdraft2020,,George Moroz,2021.10.04,Contents of the contrast,C-Cː-Cʼ-Cʼː,
Akhvakh,Tad-Magitl',village,no,yes,Number of contrasts in voiceless obstruents,Type of the contrast,four-way,kibrikkodzasov1990,322--323,Viola Ivanova,2017.05.06,Contents of the contrast,C-Cː-Cʼ-Cʼː,
Andi,Andi,village,no,yes,Number of contrasts in voiceless obstruents,Type of the contrast,four-way,kibrikkodzasov1990,321,George Moroz,2017.05.06,Contents of the contrast,C-Cː-Cʼ-Cʼː,
Andi,Zilo,village,yes,yes,Number of contrasts in voiceless obstruents,Type of the contrast,four-way,kayeetaldraft2020,,George Moroz,2021.10.04,Contents of the contrast,C-Cː-Cʼ-Cʼː,
Archi,Archib,village,yes,yes,Number of contrasts in voiceless obstruents,Type of the contrast,three-way,kibrik1994a,300,George Moroz,2021.10.04,Contents of the contrast,C-Cː-Cʼ,
Archi,Archib,village,no,yes,Number of contrasts in voiceless obstruents,Type of the contrast,three-way,kibrikkodzasov1990,335--336,Viola Ivanova,2017.05.06,Contents of the contrast,C-Cː-Cʼ,
Armenian,Eastern Armenian,dialect_toplevel,yes,yes,Number of contrasts in voiceless obstruents,Type of the contrast,two-way,dum-tragut2009,17,George Moroz,2021.10.04,Contents of the contrast,C-Cʰ,
Avar,Chadakolob,village,no,yes,Number of contrasts in voiceless obstruents,Type of the contrast,two-way,kibrikkodzasov1990,320,Viola Ivanova,2017.05.06,Contents of the contrast,C-Cʼ,
